date,TotalExchangeMarginMaintenance
2021-02-03,167.561
2021-02-04,167.249
2021-02-05,168.578
2021-02-17,174.366
2021-02-18,176.33
2021-02-19,176.111
2021-02-22,178.152
2021-02-23,177.276
2021-02-24,173.689
2021-02-25,175.235
2021-02-26,171.985
2021-03-02,169.747
2021-03-03,172.22
2021-03-04,169.169
2021-03-05,167.93
2021-03-08,166.3
2021-03-09,166.735
2021-03-10,167.231
2021-03-11,170.933
2021-03-12,171.565
2021-03-15,172.288
2021-03-16,172.691
2021-03-17,172.548
2021-03-18,174.023
2021-03-19,172.499
2021-03-22,173.533
2021-03-23,171.63
2021-03-24,171.209
