name,contract_type,buy_top5_trader_open_interest,buy_top5_trader_open_interest_per,buy_top10_trader_open_interest,buy_top10_trader_open_interest_per,sell_top5_trader_open_interest,sell_top5_trader_open_interest_per,sell_top10_trader_open_interest,sell_top10_trader_open_interest_per,market_open_interest,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,date,futures_id
東證期貨,201602,101,75.4,111,82.8,84,62.7,109,81.3,134,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-13,TJF
東證期貨,all,264,86.3,277,90.5,237,77.5,272,88.9,306,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-13,TJF
東證期貨,201602,257,82.6,268,86.2,239,76.8,283,91.0,311,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-14,TJF
東證期貨,all,529,89.4,542,91.6,499,84.3,552,93.2,592,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-14,TJF
東證期貨,201602,397,89.2,411,92.4,345,77.5,393,88.3,445,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-15,TJF
東證期貨,all,762,92.9,778,94.9,691,84.3,750,91.5,820,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-15,TJF
東證期貨,201602,522,84.3,542,87.6,576,93.1,604,97.6,619,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-18,TJF
東證期貨,all,979,89.5,1005,91.9,1014,92.7,1068,97.6,1094,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-18,TJF
東證期貨,201602,532,86.1,554,89.6,576,93.2,595,96.3,618,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-19,TJF
東證期貨,all,976,89.1,1013,92.5,1037,94.7,1061,96.9,1095,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-19,TJF
東證期貨,201602,575,84.1,599,87.6,636,93.0,656,95.9,684,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-20,TJF
東證期貨,all,1024,85.8,1072,89.8,1127,94.4,1155,96.7,1194,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-20,TJF
東證期貨,201602,727,91.6,748,94.2,660,83.1,717,90.3,794,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-21,TJF
東證期貨,all,1274,92.8,1309,95.3,1187,86.5,1264,92.1,1373,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-21,TJF
東證期貨,201602,764,94.2,782,96.4,689,85.0,733,90.4,811,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-22,TJF
東證期貨,all,1436,95.5,1461,97.2,1341,89.2,1402,93.3,1503,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-22,TJF
東證期貨,201602,809,95.3,828,97.5,700,82.4,764,90.0,849,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-25,TJF
東證期貨,all,1498,95.2,1537,97.6,1365,86.7,1449,92.1,1574,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-25,TJF
東證期貨,201602,761,94.5,775,96.3,648,80.5,713,88.6,805,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-26,TJF
東證期貨,all,1447,95.3,1471,96.8,1307,86.0,1385,91.2,1519,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-26,TJF
東證期貨,201602,694,97.9,701,98.9,477,67.3,564,79.5,709,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-27,TJF
東證期貨,all,1427,98.5,1437,99.2,1153,79.6,1250,86.3,1449,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-27,TJF
東證期貨,201602,533,95.7,544,97.7,422,75.8,471,84.6,557,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-28,TJF
東證期貨,all,1285,97.5,1297,98.4,1096,83.2,1178,89.4,1318,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-28,TJF
東證期貨,201602,277,87.1,293,92.1,245,77.0,277,87.1,318,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-29,TJF
東證期貨,all,1085,95.8,1102,97.3,1007,88.9,1056,93.2,1133,0,0.0,0,0.0,0,0.0,0,0.0,2016-01-29,TJF
東證期貨,201602,99,78.0,116,91.3,79,62.2,95,74.8,127,0,0.0,0,0.0,0,0.0,0,0.0,2016-02-01,TJF
東證期貨,all,976,95.2,998,97.4,940,91.7,969,94.5,1025,57,5.6,57,5.6,0,0.0,0,0.0,2016-02-01,TJF
東證期貨,201602,113,89.7,119,94.4,69,54.8,95,75.4,126,0,0.0,0,0.0,0,0.0,0,0.0,2016-02-02,TJF
東證期貨,all,990,97.0,1003,98.2,920,90.1,962,94.2,1021,29,2.8,29,2.8,0,0.0,0,0.0,2016-02-02,TJF
