出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,5870,花旗台灣,金融保險業,1383632,1328284,1409277,4.166879974463292,-1.8197274205142069,9192222,9842545,-6.6072646861152275,-
1140817,11407,5872,匯豐台灣,金融保險業,2071669,1894459,1972231,9.354121678009395,5.041904320538517,14142959,13436134,5.260627796656389,-
1140817,11407,5873,全球人壽,金融保險業,12539011,16941225,15221737,-25.98521653540402,-17.624309236192953,86934885,95743108,-9.1998507088364,-
1140817,11407,5874,南山人壽,金融保險業,35474957,23129175,50630052,53.37752859753969,-29.933003031480197,234789249,309145984,-24.052305010696823,-
1140817,11407,5875,星展銀行,金融保險業,2674304,3036851,2443502,-11.938254461611715,9.445541685662628,18592924,16803639,10.648199476315815,-
1140817,11407,5901,中友百貨,貿易百貨,128452,118130,103891,8.737831202912046,23.641123870210123,1187420,1100177,7.929905824244644,-
1140817,11407,6008,凱基證券,證券,3660126,3202778,3856309,14.279728410773398,-5.087325730381045,20235913,22166540,-8.70964525812328,-
1140817,11407,6025,臺銀人壽,金融保險業,5582663,933408,3906162,498.09461671637695,42.919392488073974,10992076,18085562,-39.22181682825228,-
1140817,11407,6029,和泰產險,金融保險業,1076926,1098417,948363,-1.9565429158507197,13.556307025896203,6918181,6202263,11.542851375377019,-
1140817,11407,6030,樂天國際銀行,金融保險業,31603,20808,16274,51.87908496732026,94.19319159395354,128501,92257,39.28590784439121,-
1140817,11407,6031,連線銀行,金融保險業,175610,158329,101759,10.91461450523909,72.57441602217003,1014224,625448,62.15960399585577,-
1140817,11407,6033,一卡通,金融保險業,112308,74284,89111,51.187335092348285,26.031578592990765,591155,580892,1.766765594981511,-
1140817,11407,6034,愛金卡,金融保險業,72511,67663,51076,7.164920266615432,41.966872895293285,528544,471120,12.188826625912718,-
1140817,11407,6036,橘子支付,金融保險業,1365,531,2089,157.06214689265536,-34.65773097175682,6403,9675,-33.81912144702842,-
1140817,11407,6037,簡單支,金融保險業,4696,3860,3578,21.6580310880829,31.246506428172165,27563,22829,20.736782163038242,-
1140817,11407,6038,街口電支,金融保險業,51923,65605,43530,-20.85511775017148,19.280955662761315,403698,285072,41.612645226469105,-
1140817,11407,6039,將來銀行,金融保險業,31116,25590,35777,21.594372801875732,-13.027922967269475,110823,177693,-37.63232091303541,-
1140817,11407,6040,全支付,金融保險業,32294,26327,19352,22.66494473354351,66.87680859859447,172822,110399,56.54308462938976,-
1140817,11407,6287,元隆,其他,99173,99231,91135,-0.05844947647408572,8.819882591759479,659616,592177,11.388318019781249,-
1140817,11407,6288,聯嘉,汽車工業,473739,422058,439825,12.244999502438054,7.710794065821633,3245993,3240041,0.18370137908748685,-
1140817,11407,6475,岱煒,電子工業,30911,33445,28217,-7.576618328599193,9.547435942871319,227483,144408,57.52797628940225,-
1140817,11407,6479,瑞寶基因,其他,2970,7060,5046,-57.93201133144476,-41.14149821640904,46355,36524,26.91654802321761,-
1140817,11407,6545,擎力,其他,12133,14808,10223,-18.064559697460833,18.683361048615865,92216,74371,23.994567775073616,-
1140817,11407,6562,聯亞藥,化學生技醫療,35189,45530,43276,-22.712497254557434,-18.68703207320455,329388,304619,8.13114086777253,-
1140817,11407,6623,施吉生技,電子工業,2,7,7725,-71.42857142857143,-99.97411003236246,23,7806,-99.70535485523956,-
1140817,11407,6647,合迪,其他,1346236,1322468,1589105,1.797245755662897,-15.283382784649222,9486074,11489759,-17.438877525629565,-
1140817,11407,6659,天明製藥,化學生技醫療,95550,105042,85270,-9.036385445821672,12.055822680895977,715422,682366,4.844321082820656,-
1140817,11407,6660,厚美德,化學生技醫療,39248,42980,32532,-8.683108422522103,20.644288700356572,269973,283492,-4.768741269594909,-
1140817,11407,6717,智慧光,其他,1677,2099,23838,-20.10481181515007,-92.96501384344324,52829,164148,-67.81623900382581,-
1140817,11407,6726,鑫亞電通,其他,30625,26862,53484,14.008636735909462,-42.739884825368335,202290,198489,1.9149675800674093,-
1140817,11407,6746,全科綜電,其他,14123,12772,14043,10.577826495458817,0.5696788435519476,95500,276494,-65.46037165363444,-
1140817,11407,6772,錫安生技,化學生技醫療,0,0,0,,,0,0,,-
1140817,11407,6778,安麗莎醫療器材,化學生技醫療,57,194,155,-70.61855670103093,-63.225806451612904,1466,899,63.07007786429366,-
1140817,11407,6779,鋐昇,其他,102886,106961,131801,-3.8097998335842034,-21.938376795320217,813999,817650,-0.44652357365620987,-
1140817,11407,6795,洹藝,化學生技醫療,6166,9154,7229,-32.64146821061831,-14.704661778945912,45416,45597,-0.39695594008377744,-
1140817,11407,6813,富動科,其他,14230,15989,45200,-11.001313402964538,-68.51769911504425,115816,286158,-59.52725417426736,-
1140817,11407,6837,富利康科技,其他,19141,4211,19400,354.54761339349324,-1.3350515463917525,60129,109276,-44.97510889856876,-
1140817,11407,6845,仲信資融,其他,376713,364592,399605,3.324538113836837,-5.728657048835725,2572156,2782685,-7.56567847241064,-
1140817,11407,6851,立視科,其他,23880,26794,19278,-10.875569157274017,23.87177093059446,163487,144572,13.083446310488892,-
1140817,11407,6852,精能醫學,化學生技醫療,1828,10003,307,-81.72548235529341,495.4397394136808,27281,19036,43.31267072914478,-
1140817,11407,6866,中大生醫,化學生技醫療,252792,237974,220165,6.226730651247616,14.819340040424228,1624866,1588116,2.31406270070952,-
1140817,11407,6871,新鑫,其他,729642,700977,588149,4.089292516016931,24.057339211662352,4690334,3965198,18.287510484974522,-
1140817,11407,6897,極上教育,其他,13755,12695,14274,8.349743993698306,-3.6359815048339637,106350,105680,0.6339894019682059,-
1140817,11407,6921,嘉雨思,電子工業,8207,15086,11980,-45.59856820893544,-31.49415692821369,123563,50124,146.5146436836645,-
1140817,11407,6930,盛新,電子工業,2350,2107,1884,11.53298528713811,24.734607218683653,17045,11623,46.64888582982019,-
1140817,11407,6942,威達高,電子工業,22963,19123,22354,20.08053129739058,2.7243446363067014,158354,135032,17.271461579477457,-
1140817,11407,6943,明緯企業,電子工業,3206527,2807747,3154686,14.20284662400138,1.643301425244858,21583110,18562207,16.274481800574684,-
1140817,11407,6954,全盈支付,金融保險業,3892,3624,3325,7.39514348785872,17.05263157894737,24690,23142,6.689136634690174,-
1140817,11407,6960,南山產物,金融保險業,874067,851126,722655,2.695370603177438,20.95218326864133,5348177,4463977,19.807449724763366,-
