futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
T5F,2018-06-13,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-13,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-13,自營商,679.0,1245300.0,677.0,1242363.0,740.0,1358407.0,795.0,1461931.0
TE,2018-06-13,投信,0.0,0.0,0.0,0.0,47.0,86612.0,24.0,44227.0
TE,2018-06-13,外資,1735.0,3192927.0,1773.0,3262686.0,2134.0,3932535.0,1850.0,3406695.0
TF,2018-06-13,自營商,168.0,215484.0,191.0,244964.0,243.0,311575.0,340.0,431698.0
TF,2018-06-13,投信,0.0,0.0,0.0,0.0,50.0,64110.0,0.0,0.0
TF,2018-06-13,外資,483.0,619957.0,505.0,648013.0,954.0,1223219.0,1811.0,2319280.0
TJF,2018-06-13,自營商,38.0,13668.0,34.0,12227.0,52.0,18702.0,1.0,360.0
TJF,2018-06-13,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-13,外資,1.0,360.0,6.0,2157.0,22.0,7912.0,0.0,0.0
TX,2018-06-13,自營商,17674.0,39305968.0,16649.0,36998259.0,7541.0,16342462.0,12508.0,27424783.0
TX,2018-06-13,投信,49.0,109314.0,36.0,79946.0,1522.0,3392842.0,26640.0,59385888.0
TX,2018-06-13,外資,44501.0,99040954.0,45143.0,100504597.0,73295.0,162999521.0,23726.0,52612599.0
UDF,2018-06-13,自營商,889.0,450202.0,961.0,486633.0,1938.0,982216.0,77.0,39016.0
UDF,2018-06-13,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-13,外資,332.0,168043.0,331.0,167540.0,27.0,13692.0,414.0,209774.0
XIF,2018-06-13,自營商,133.0,170425.0,133.0,170474.0,240.0,307877.0,225.0,287725.0
XIF,2018-06-13,投信,0.0,0.0,0.0,0.0,1.0,1294.0,0.0,0.0
XIF,2018-06-13,外資,61.0,78850.0,54.0,69812.0,1.0,1294.0,0.0,0.0
ETF,2018-06-14,自營商,1020.0,481251.0,1160.0,591624.0,3079.0,1264165.0,7196.0,2231353.0
ETF,2018-06-14,投信,1000.0,820640.0,1000.0,820251.0,2653.0,1117537.0,4726.0,3473642.0
ETF,2018-06-14,外資,2472.0,1140359.0,2043.0,996616.0,3962.0,2894012.0,4418.0,1166480.0
GTF,2018-06-14,自營商,12.0,7462.0,3.0,1883.0,11.0,6853.0,6.0,3744.0
GTF,2018-06-14,投信,0.0,0.0,0.0,0.0,9.0,5629.0,0.0,0.0
GTF,2018-06-14,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31270.0
I5F,2018-06-14,自營商,124.0,67072.0,144.0,77891.0,209.0,113067.0,441.0,238526.0
I5F,2018-06-14,投信,0.0,0.0,0.0,0.0,226.0,122187.0,0.0,0.0
I5F,2018-06-14,外資,73.0,39464.0,68.0,36751.0,38.0,20573.0,13.0,7028.0
MTX,2018-06-14,自營商,8752.0,4820636.0,14525.0,7950432.0,23059.0,12472523.0,11424.0,6089334.0
MTX,2018-06-14,投信,0.0,0.0,0.0,0.0,46.0,25266.0,0.0,0.0
MTX,2018-06-14,外資,31789.0,17585853.0,35658.0,19735414.0,210.0,114490.0,15711.0,8621238.0
SF,2018-06-14,自營商,24443.0,3966283.0,25573.0,4204157.0,26623.0,3470258.0,101119.0,15489060.0
SF,2018-06-14,投信,0.0,0.0,0.0,0.0,0.0,0.0,227.0,183903.0
SF,2018-06-14,外資,20857.0,4040077.0,18452.0,3865259.0,29802.0,9202653.0,22773.0,5824178.0
SPF,2018-06-14,自營商,142.0,78987.0,151.0,83985.0,387.0,214685.0,308.0,170790.0
SPF,2018-06-14,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPF,2018-06-14,外資,12.0,6661.0,3.0,1673.0,22.0,12198.0,19.0,10534.0
T5F,2018-06-14,自營商,158.0,128267.0,160.0,129905.0,136.0,110144.0,122.0,98910.0
T5F,2018-06-14,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5F,2018-06-14,外資,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TE,2018-06-14,自營商,753.0,1368677.0,793.0,1442295.0,785.0,1415402.0,880.0,1590036.0
TE,2018-06-14,投信,0.0,0.0,0.0,0.0,47.0,85173.0,24.0,43493.0
TE,2018-06-14,外資,1805.0,3298351.0,1852.0,3382550.0,1975.0,3579053.0,1749.0,3165901.0
TF,2018-06-14,自營商,181.0,229906.0,222.0,282208.0,240.0,304661.0,378.0,475776.0
TF,2018-06-14,投信,0.0,0.0,0.0,0.0,50.0,63500.0,0.0,0.0
TF,2018-06-14,外資,753.0,959488.0,902.0,1147370.0,848.0,1076960.0,1854.0,2350126.0
TJF,2018-06-14,自營商,48.0,17163.0,61.0,21784.0,62.0,22075.0,24.0,8545.0
TJF,2018-06-14,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJF,2018-06-14,外資,4.0,1429.0,4.0,1431.0,22.0,7833.0,0.0,0.0
TX,2018-06-14,自營商,19396.0,42787908.0,19736.0,43443279.0,6653.0,14204198.0,11913.0,25683033.0
TX,2018-06-14,投信,3216.0,7100255.0,3785.0,8184828.0,1609.0,3527360.0,27296.0,59792705.0
TX,2018-06-14,外資,56504.0,124695478.0,62462.0,138084905.0,71217.0,155849438.0,27606.0,60335160.0
UDF,2018-06-14,自營商,880.0,444563.0,628.0,317522.0,2130.0,1071913.0,17.0,8553.0
UDF,2018-06-14,投信,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDF,2018-06-14,外資,254.0,128316.0,372.0,187851.0,61.0,30705.0,566.0,284766.0
XIF,2018-06-14,自營商,143.0,182612.0,148.0,188994.0,260.0,330024.0,250.0,316501.0
XIF,2018-06-14,投信,0.0,0.0,0.0,0.0,1.0,1280.0,0.0,0.0
XIF,2018-06-14,外資,49.0,62936.0,51.0,65524.0,0.0,0.0,1.0,1280.0
ETF,2018-06-15,自營商,1536.0,633706.0,1297.0,582637.0,3288.0,1395654.0,7166.0,2307810.0
ETF,2018-06-15,投信,1400.0,1141147.0,1400.0,1140549.0,2653.0,1119997.0,4726.0,3499075.0
ETF,2018-06-15,外資,2792.0,1332116.0,3196.0,1398822.0,3854.0,2935973.0,4714.0,1249005.0
GTF,2018-06-15,自營商,0.0,0.0,5.0,3078.0,8.0,5006.0,8.0,4976.0
GTF,2018-06-15,投信,0.0,0.0,0.0,0.0,9.0,5632.0,0.0,0.0
GTF,2018-06-15,外資,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31290.0
I5F,2018-06-15,自營商,28.0,15098.0,30.0,16168.0,212.0,114844.0,446.0,241563.0
I5F,2018-06-15,投信,0.0,0.0,0.0,0.0,226.0,122368.0,0.0,0.0
I5F,2018-06-15,外資,43.0,23193.0,42.0,22654.0,35.0,18970.0,9.0,4873.0
MTX,2018-06-15,自營商,8922.0,4865576.0,8203.0,4481352.0,23088.0,12552312.0,11494.0,6163134.0
MTX,2018-06-15,投信,14.0,7714.0,14.0,7738.0,34.0,18767.0,0.0,0.0
MTX,2018-06-15,外資,40581.0,22297351.0,39265.0,21584098.0,1120.0,611497.0,15293.0,8446225.0
SF,2018-06-15,自營商,24155.0,3779628.0,23824.0,3540440.0,26929.0,3610783.0,101094.0,15571691.0
SF,2018-06-15,投信,5.0,2309.0,5.0,2305.0,0.0,0.0,227.0,182772.0
SF,2018-06-15,外資,21552.0,4838898.0,23282.0,4847028.0,28897.0,9432801.0,23598.0,6004766.0
