Month,Code,Name,HighestPrice,LowestPrice,WeightedAvgPriceAB,Transaction,TradeValueA,TradeVolumeB,TurnoverRatio
11408,054267,台積電元大49購01,0.07,0.05,0.06,3,3050,50000,1.78
11408,054268,台積電元大4A購01,0.14,0.09,0.12,2,8800,70000,2.41
11408,054406,台積電永豐49購08,0.55,0.42,0.50,13,792480,1564000,68.00
11408,054407,台積電永豐49購09,0.57,0.49,0.55,4,179070,320000,21.33
11408,054438,台積電群益4A購09,0.45,0.20,0.34,225,9638480,27910000,299.62
11408,054591,台積電群益4A購10,1.91,1.07,1.43,57,1280200,890000,69.15
11408,054592,台積電群益4A購11,1.13,0.77,0.87,48,2409240,2759000,183.93
11408,054593,台積電群益4A購12,0.57,0.42,0.50,4,11100,22000,1.81
11408,054716,台積電統一4A購09,0.42,0.39,0.40,7,102280,250000,10.00
11408,054717,台積電統一51購01,0.26,0.22,0.24,4,126350,506000,20.24
11408,054896,台積電元富4A購03,1.11,0.26,0.59,230,3738730,6238000,145.06
11408,054906,台積電群益4A購13,0.14,0.11,0.12,4,2310,18000,2.25
11408,055052,台積電統一5A購01,0.56,0.49,0.52,27,713270,1369000,27.38
11408,055062,台積電群益4A購15,0.30,0.29,0.29,2,34900,118000,13.11
11408,055103,台積電元大49購02,0.04,0.04,0.04,1,40,1000,0.03
11408,055437,台積電群益54購01,2.04,1.66,1.83,319,21849610,11891000,480.44
11408,055438,台積電群益54購02,1.60,1.24,1.40,355,14228990,10130000,538.82
11408,055439,台積電群益54購03,1.49,1.22,1.36,15,170980,125000,7.46
11408,055440,台積電群益54購04,1.08,0.88,1.00,11,120500,120000,7.18
11408,055441,台積電群益54購05,0.90,0.90,0.90,1,9000,10000,0.60
11408,055479,台積電元大51購01,4.16,2.88,3.49,191,5786160,1656000,33.12
11408,055541,台積電統一51購03,2.33,1.87,2.10,181,9370280,4444000,88.88
11408,056089,台積電元大54購01,5.60,4.45,4.84,48,3583100,739000,14.78
11408,056138,台積電元富5B購01,12.10,10.40,11.31,13,350900,31000,2.06
11408,056289,台積電統一55購01,5.25,5.25,5.25,1,10500,2000,0.06
11408,056439,台積電統一5B購01,0.90,0.79,0.85,37,1345730,1583000,31.66
11408,056882,台積電元大4A購02,0.16,0.09,0.12,36,100470,783000,30.11
11408,056926,台積電群益4B購01,1.10,1.08,1.09,2,115400,105000,21.00
11408,056951,台積電富邦49購01,1.78,1.46,1.61,8,33850,21000,0.21
11408,057069,台積電元大4A購03,0.07,0.07,0.07,1,14000,200000,7.14
11408,057113,台積電群益49購06,0.70,0.36,0.56,12,986180,1732000,144.33
11408,057397,台積電元富49購01,17.90,17.00,17.51,3,140100,8000,1.60
11408,057435,台積電中信4B購01,0.07,0.05,0.06,2,120,2000,0.04
11408,057607,台積電凱基49購01,24.30,22.20,23.41,9,257600,11000,2.20
11408,057922,台積電元大55購01,0.61,0.47,0.53,443,7110290,13308000,24.19
11408,058093,台積電元大48購07,0.25,0.19,0.23,2,162750,699000,
11408,058322,台積電群益4B購05,0.69,0.47,0.67,4,293280,432000,48.00
11408,058425,台積電統一4B購02,0.54,0.50,0.52,7,55500,106000,4.24
11408,058438,台積電永豐53購01,8.00,5.70,6.97,69,5711750,819000,34.82
11408,05844P,台積電統一4C售12,0.38,0.38,0.38,1,7600,20000,0.40
11408,058852,台積電凱基53購01,0.74,0.59,0.64,17,48420,75000,5.00
11408,05906P,台積電凱基4A售13,0.06,0.04,0.04,2,5800,130000,6.19
11408,059112,台積電凱基49購03,1.76,1.28,1.66,15,477920,287000,57.40
11408,059113,台積電凱基5B購01,2.30,1.93,2.07,84,3224300,1557000,225.00
11408,059247,台積電凱基53購02,1.40,1.11,1.23,18,98810,80000,3.80
11408,059524,台積電凱基53購03,2.36,1.98,2.25,16,112600,50000,3.84
11408,059525,台積電凱基53購04,1.47,1.09,1.21,29,370320,306000,15.30
11408,059600,台積電統一5B購02,0.66,0.57,0.61,227,6201540,10143000,81.14
11408,059646,台積電永豐4B購01,0.47,0.28,0.40,34,525500,1310000,48.51
11408,059647,台積電永豐4B購02,0.66,0.56,0.60,4,2400,4000,0.16
11408,059828,台積電凱基5B購02,2.33,2.24,2.26,12,106300,47000,2.23
11408,060012,台積電永豐4C購03,1.24,0.84,1.03,205,5619940,5432000,72.42
11408,060081,台積電國票49購01,0.10,0.05,0.06,3,12100,201000,13.40
11408,060082,台積電國票4A購01,0.07,0.07,0.07,1,70,1000,0.05
11408,060218,台積電凱基4C購03,0.98,0.70,0.87,25,59550,68000,3.40
11408,060405,台積電永豐4C購04,1.24,0.97,1.11,20,415520,374000,18.70
11408,060443,台積電群益4C購02,0.24,0.24,0.24,10,24000,100000,9.52
11408,060472,台積電中信4C購01,0.32,0.19,0.23,16,45000,192000,3.84
11408,060517,台積電凱基4A購10,1.34,0.92,1.16,39,507370,436000,33.53
11408,060518,台積電凱基4C購04,1.50,1.02,1.21,67,2496080,2054000,102.70
11408,060702,台積電統一58購02,0.92,0.88,0.90,5,243930,271000,1.35
11408,060851,台積電永豐51購01,0.98,0.73,0.88,34,1326720,1507000,60.28
11408,060960,台積電元富49購07,12.10,11.20,12.00,2,108000,9000,0.60
11408,060962,台積電元富56購01,0.96,0.79,0.83,11,381880,457000,5.19
11408,060963,台積電元富5C購01,2.19,1.84,1.89,10,311410,164000,16.40
11408,060964,台積電元富5C購02,19.60,16.00,17.86,57,2036500,114000,5.18
11408,061255,台積電凱基4A購14,0.40,0.36,0.38,4,9880,26000,1.30
11408,061674,台積電群益5B購01,1.83,1.60,1.71,3,102900,60000,2.98
11408,06177P,台積電凱基5C售02,2.04,1.69,1.80,118,2016500,1116000,53.14
11408,06223P,台積電富邦48售04,0.04,0.04,0.04,1,2800,70000,
11408,062386,台積電凱基4A購01,22.30,22.30,22.30,1,22300,1000,0.20
11408,062408,台積電中信4C購02,0.54,0.52,0.53,2,1060,2000,0.04
11408,062456,台積電群益58購01,1.11,0.91,1.03,65,2539410,2452000,113.72
11408,062457,台積電群益58購02,1.36,1.15,1.21,9,94460,78000,6.50
11408,062571,台積電元大4C購01,12.20,9.50,10.73,31,1492400,139000,2.78
11408,062687,台積電永豐54購01,4.59,3.41,3.88,24,578700,149000,9.93
11408,062907,台積電凱基5C購01,1.30,1.09,1.20,25,115220,96000,4.17
11408,062960,台積電元大4A購05,0.14,0.04,0.08,37,246410,2918000,104.21
11408,063102,台積電中信4A購01,0.14,0.13,0.13,2,1080,8000,0.08
11408,063122,台積電凱基4B購02,0.70,0.60,0.68,6,31480,46000,2.19
11408,063123,台積電凱基53購05,12.70,9.75,11.11,41,922200,83000,16.60
11408,063346,台積電凱基4C購05,0.48,0.42,0.45,5,10960,24000,1.20
11408,06336P,台積電中信48售05,0.03,0.02,0.02,2,5000,200000,
11408,063442,台積電元大48購09,0.02,0.02,0.02,2,520,26000,
11408,063443,台積電元大49購04,0.90,0.48,0.66,226,6751210,10096000,258.87
11408,063502,台積電統一4C購13,0.73,0.71,0.72,2,31680,44000,0.88
11408,063503,台積電統一5C購01,0.54,0.46,0.50,67,1132010,2231000,44.62
11408,063588,台積電凱基4C購06,1.25,1.10,1.16,17,32750,28000,1.33
11408,063612,台積電群益5C購01,2.32,2.01,2.21,60,1668300,752000,44.39
11408,063613,台積電群益5C購02,1.83,1.58,1.69,13,113760,67000,3.65
11408,063767,台積電元富4C購02,2.60,2.53,2.55,2,63950,25000,1.38
11408,063802,台積電凱基4C購07,6.45,5.45,5.80,26,208800,36000,7.20
11408,06381P,台積電凱基4C售09,2.90,1.32,1.91,58,859590,448000,89.60
11408,063840,台積電群益5C購03,1.95,1.61,1.82,31,288030,158000,9.04
11408,063841,台積電群益5C購04,2.63,1.17,1.35,154,1764570,1304000,62.81
11408,063932,台積電國票4C購01,0.45,0.32,0.37,3,44500,120000,4.80
11408,064020,台積電凱基4C購08,9.95,6.85,8.61,31,637850,74000,14.80
11408,06418P,台積電凱基4A售15,1.33,0.28,0.64,50,305540,475000,95.00
11408,064278,台積電元大48購10,0.15,0.03,0.06,5,47730,791000,
11408,06430P,台積電凱基4C售11,0.38,0.11,0.27,23,119790,434000,86.80
11408,064326,台積電凱基4C購10,13.00,9.65,11.54,30,612100,53000,10.60
11408,064383,台積電富邦4A購01,1.70,1.10,1.40,48,875530,622000,6.22
11408,064543,台積電富邦4C購01,1.21,0.87,1.00,74,1395000,1390000,13.90
11408,06454P,台積電元富4C售04,0.25,0.25,0.25,1,500,2000,0.16
11408,064611,台積電凱基49購04,9.00,9.00,9.00,1,18000,2000,0.40
11408,064642,台積電台新49購01,2.63,2.26,2.44,2,4890,2000,0.04
11408,064671,台積電元大49購05,0.08,0.02,0.02,3,9820,349000,12.46
11408,064672,台積電元大4A購06,0.60,0.34,0.46,728,15691840,33864000,225.76
