date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2020-04-01,DWF,202004/202005,-0.21,-0.21,-0.29,-0.29,0.0,0.0,7,0.0,0,position
2020-04-01,DXF,202004,24.5,24.5,24.2,24.45,-0.05,-0.2,260,24.45,487,position
2020-04-01,DXF,202005,24.2,24.35,24.15,24.25,-0.3,-1.22,114,24.25,184,position
2020-04-01,DXF,202006,24.15,24.15,24.1,24.1,-0.25,-1.03,3,24.1,2,position
2020-04-01,DXF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,23.35,27,position
2020-04-01,DXF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,24.8,0,position
2020-04-01,DXF,202004/202005,-0.09,-0.09,-0.12,-0.12,0.0,0.0,27,0.0,0,position
2020-04-01,DYF,202004,38.85,38.85,38.4,38.4,-0.85,-2.17,46,38.4,389,position
2020-04-01,DYF,202005,38.85,38.9,38.3,38.3,-0.75,-1.92,47,38.3,129,position
2020-04-01,DYF,202006,38.65,38.65,38.65,38.65,-0.7,-1.78,3,38.65,15,position
2020-04-01,DYF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,38.35,0,position
2020-04-01,DYF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,38.65,0,position
2020-04-01,DYF,202004/202005,-0.19,-0.14,-0.19,-0.14,0.0,0.0,28,0.0,0,position
2020-04-01,DYF,202005/202006,-0.01,-0.01,-0.01,-0.01,0.0,0.0,2,0.0,0,position
2020-04-01,DZF,202004,37.4,37.6,36.7,36.85,-0.1,-0.27,38,36.85,60,position
2020-04-01,DZF,202005,37.3,37.3,36.75,36.8,0.0,0.0,10,36.8,25,position
2020-04-01,DZF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,36.85,1,position
2020-04-01,DZF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,36.15,0,position
2020-04-01,DZF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,36.5,0,position
2020-04-01,EEF,202004,12.95,13.1,12.8,13.0,-0.05,-0.38,29,13.0,127,position
2020-04-01,EEF,202005,12.8,13.1,12.8,13.1,0.05,0.38,15,13.1,342,position
2020-04-01,EEF,202006,13.0,13.1,13.0,13.1,-0.05,-0.38,2,13.1,7,position
2020-04-01,EEF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,0,position
2020-04-01,EEF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,13.05,0,position
2020-04-01,EEF,202004/202005,-0.01,-0.01,-0.01,-0.01,0.0,0.0,9,0.0,0,position
2020-04-01,EGF,202004,7.23,7.34,7.23,7.33,0.05,0.69,193,7.33,523,position
2020-04-01,EGF,202005,7.25,7.32,7.25,7.31,0.06,0.83,121,7.31,456,position
2020-04-01,EGF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,7.39,2,position
2020-04-01,EGF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,7.33,3,position
2020-04-01,EGF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,7.41,1,position
2020-04-01,EHF,202004,32.45,33.8,32.45,33.7,1.85,5.81,40,33.2,47,position
2020-04-01,EHF,202005,0.0,0.0,0.0,0.0,0.0,0.0,0,32.8,11,position
2020-04-01,EHF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,32.95,0,position
2020-04-01,EHF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,32.95,0,position
2020-04-01,EHF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,0,position
2020-04-01,EMF,202004,23.75,24.2,23.75,24.2,0.3,1.26,15,24.2,111,position
2020-04-01,EMF,202005,23.95,23.95,23.95,23.95,0.15,0.63,10,23.95,68,position
2020-04-01,EMF,202006,0.0,0.0,0.0,0.0,0.0,0.0,0,24.2,7,position
2020-04-01,EMF,202009,0.0,0.0,0.0,0.0,0.0,0.0,0,24.05,0,position
2020-04-01,EMF,202012,0.0,0.0,0.0,0.0,0.0,0.0,0,24.2,0,position
