date,stock_id,buy,name,sell
2016-04-08,2330,91000,Dealer_Hedging,1971000
2016-04-11,2330,10481540,Foreign_Investor,14826460
2016-04-11,2330,0,Investment_Trust,258000
2016-04-11,2330,282000,Dealer_self,716000
2016-04-11,2330,451000,Dealer_Hedging,296000
2016-04-12,2330,8169000,Foreign_Investor,10349730
2016-04-12,2330,163000,Investment_Trust,5000
2016-04-12,2330,123000,Dealer_self,528000
2016-04-12,2330,474000,Dealer_Hedging,191000
2016-04-13,2330,35651965,Foreign_Investor,13007237
2016-04-13,2330,54000,Investment_Trust,521000
2016-04-13,2330,392000,Dealer_self,595000
2016-04-13,2330,461000,Dealer_Hedging,1132000
2016-04-14,2330,23668000,Foreign_Investor,16530644
2016-04-14,2330,50000,Investment_Trust,191000
2016-04-14,2330,170000,Dealer_self,93000
2016-04-14,2330,2104000,Dealer_Hedging,305000
2016-04-15,2330,29775765,Foreign_Investor,33341602
2016-04-15,2330,20000,Investment_Trust,1082260
2016-04-15,2330,857000,Dealer_self,472000
2016-04-15,2330,724000,Dealer_Hedging,983000
2016-04-18,2330,12035763,Foreign_Investor,17226255
2016-04-18,2330,39000,Investment_Trust,346740
2016-04-18,2330,43000,Dealer_self,665000
2016-04-18,2330,955000,Dealer_Hedging,59000
2016-04-19,2330,14285345,Foreign_Investor,18852495
2016-04-19,2330,118000,Investment_Trust,275000
2016-04-19,2330,393000,Dealer_self,471000
2016-04-19,2330,1206000,Dealer_Hedging,1101000
2016-04-20,2330,21775950,Foreign_Investor,32411531
2016-04-20,2330,84000,Investment_Trust,708000
2016-04-20,2330,373000,Dealer_self,410000
2016-04-20,2330,1134000,Dealer_Hedging,675001
2016-04-21,2330,24344548,Foreign_Investor,13177684
2016-04-21,2330,125000,Investment_Trust,298000
2016-04-21,2330,50000,Dealer_self,245000
2016-04-21,2330,207000,Dealer_Hedging,1196000
2016-04-22,2330,25069020,Foreign_Investor,17596365
2016-04-22,2330,16000,Investment_Trust,102000
2016-04-22,2330,55000,Dealer_self,259000
2016-04-22,2330,300000,Dealer_Hedging,2336749
2016-04-25,2330,11925989,Foreign_Investor,9734929
2016-04-25,2330,4000,Investment_Trust,261000
2016-04-25,2330,60000,Dealer_self,223000
2016-04-25,2330,423000,Dealer_Hedging,201000
2016-04-26,2330,16169923,Foreign_Investor,14880741
2016-04-26,2330,158000,Investment_Trust,143000
2016-04-26,2330,44000,Dealer_self,77000
2016-04-26,2330,474000,Dealer_Hedging,78000
2016-04-27,2330,28004068,Foreign_Investor,34663138
2016-04-27,2330,255000,Investment_Trust,41000
2016-04-27,2330,1449000,Dealer_self,168000
2016-04-27,2330,1674000,Dealer_Hedging,87000
2016-04-28,2330,25386476,Foreign_Investor,41684100
2016-04-28,2330,18000,Investment_Trust,291000
2016-04-28,2330,807000,Dealer_self,760000
2016-04-28,2330,2145000,Dealer_Hedging,740000
2016-04-29,2330,37765618,Foreign_Investor,66262467
2016-04-29,2330,0,Investment_Trust,1187000
2016-04-29,2330,1379000,Dealer_self,111000
2016-04-29,2330,1120000,Dealer_Hedging,348000
2016-05-03,2330,16652487,Foreign_Investor,63959515
2016-05-03,2330,7000,Investment_Trust,380000
2016-05-03,2330,2046000,Dealer_self,206000
2016-05-03,2330,989000,Dealer_Hedging,355000
2016-05-04,2330,23512540,Foreign_Investor,50354331
2016-05-04,2330,10000,Investment_Trust,165000
2016-05-04,2330,1045000,Dealer_self,37000
2016-05-04,2330,404000,Dealer_Hedging,402000
2016-05-05,2330,23891785,Foreign_Investor,37758202
2016-05-05,2330,127000,Investment_Trust,53000
2016-05-05,2330,1437000,Dealer_self,98000
2016-05-05,2330,307000,Dealer_Hedging,195000
2016-05-06,2330,30192917,Foreign_Investor,36329176
2016-05-06,2330,11000,Investment_Trust,19000
2016-05-06,2330,270000,Dealer_self,202000
2016-05-06,2330,337000,Dealer_Hedging,282000
2016-05-09,2330,24509300,Foreign_Investor,34812293
2016-05-09,2330,145000,Investment_Trust,0
2016-05-09,2330,61000,Dealer_self,1018000
2016-05-09,2330,258000,Dealer_Hedging,206000
2016-05-10,2330,27595804,Foreign_Investor,36472619
2016-05-10,2330,124107,Investment_Trust,0
2016-05-10,2330,692000,Dealer_self,708000
2016-05-10,2330,570000,Dealer_Hedging,110000
2016-05-11,2330,23622636,Foreign_Investor,40207253
2016-05-11,2330,461938,Investment_Trust,40000
2016-05-11,2330,688000,Dealer_self,493000
2016-05-11,2330,355000,Dealer_Hedging,706000
2016-05-12,2330,12719000,Foreign_Investor,19946830
2016-05-12,2330,54000,Investment_Trust,200000
2016-05-12,2330,81000,Dealer_self,573000
2016-05-12,2330,180000,Dealer_Hedging,400000
2016-05-13,2330,21174000,Foreign_Investor,54670407
2016-05-13,2330,329000,Investment_Trust,9000
2016-05-13,2330,1306000,Dealer_self,328000
2016-05-13,2330,384000,Dealer_Hedging,428000
2016-05-16,2330,16222000,Foreign_Investor,25969619
2016-05-16,2330,616000,Investment_Trust,67000
2016-05-16,2330,595000,Dealer_self,244000
2016-05-16,2330,66000,Dealer_Hedging,494000
2016-05-17,2330,18839000,Foreign_Investor,26699348
2016-05-17,2330,610000,Investment_Trust,50000
2016-05-17,2330,883000,Dealer_self,391000
2016-05-17,2330,161000,Dealer_Hedging,666000
2016-05-18,2330,20789723,Foreign_Investor,26726267
2016-05-18,2330,100000,Investment_Trust,27000
2016-05-18,2330,1069000,Dealer_self,348000
2016-05-18,2330,212000,Dealer_Hedging,493000
2016-05-19,2330,23100500,Foreign_Investor,30080147
2016-05-19,2330,321000,Investment_Trust,44000
2016-05-19,2330,263000,Dealer_self,512000
2016-05-19,2330,84000,Dealer_Hedging,967000
2016-05-20,2330,30213084,Foreign_Investor,24041335
2016-05-20,2330,351000,Investment_Trust,68000
2016-05-20,2330,564000,Dealer_self,2759000
2016-05-20,2330,7000,Dealer_Hedging,1581000
2016-05-23,2330,37929199,Foreign_Investor,24540718
2016-05-23,2330,2867000,Investment_Trust,12000
2016-05-23,2330,909000,Dealer_self,805000
2016-05-23,2330,168000,Dealer_Hedging,224000
2016-05-24,2330,14396247,Foreign_Investor,19903515
2016-05-24,2330,86000,Investment_Trust,358000
2016-05-24,2330,392000,Dealer_self,56000
2016-05-24,2330,586000,Dealer_Hedging,141000
2016-05-25,2330,32483997,Foreign_Investor,20121100
2016-05-25,2330,681000,Investment_Trust,71000
2016-05-25,2330,86000,Dealer_self,770000
2016-05-25,2330,97000,Dealer_Hedging,436000
2016-05-26,2330,17094000,Foreign_Investor,13006800
2016-05-26,2330,158000,Investment_Trust,33000
2016-05-26,2330,4000,Dealer_self,158000
2016-05-26,2330,76000,Dealer_Hedging,235000
2016-05-27,2330,23274300,Foreign_Investor,17518735
2016-05-27,2330,331000,Investment_Trust,0
2016-05-27,2330,130000,Dealer_self,170000
2016-05-27,2330,291000,Dealer_Hedging,494000
2016-05-30,2330,33433000,Foreign_Investor,14788341
2016-05-30,2330,0,Investment_Trust,87000
2016-05-30,2330,588000,Dealer_self,481000
2016-05-30,2330,565000,Dealer_Hedging,319000
2016-05-31,2330,63495525,Foreign_Investor,54960929
2016-05-31,2330,123000,Investment_Trust,177985
2016-05-31,2330,298000,Dealer_self,864000
2016-05-31,2330,1145000,Dealer_Hedging,606000
2016-06-01,2330,25491427,Foreign_Investor,12479399
2016-06-01,2330,18000,Investment_Trust,63000
2016-06-01,2330,140000,Dealer_self,450000
2016-06-01,2330,194000,Dealer_Hedging,504000
2016-06-02,2330,20064416,Foreign_Investor,13207744
2016-06-02,2330,90000,Investment_Trust,130000
2016-06-02,2330,74000,Dealer_self,270000
2016-06-02,2330,150000,Dealer_Hedging,401000
2016-06-03,2330,29889000,Foreign_Investor,12909821
2016-06-03,2330,78000,Investment_Trust,249000
2016-06-03,2330,80000,Dealer_self,291000
2016-06-03,2330,66000,Dealer_Hedging,144000
2016-06-04,2330,605000,Dealer_Hedging,3000
2016-06-04,2330,44000,Dealer_self,0
2016-06-04,2330,820300,Foreign_Investor,68000
2016-06-04,2330,189000,Investment_Trust,897000
2016-06-06,2330,25582500,Foreign_Investor,14280829
2016-06-06,2330,195000,Investment_Trust,300000
2016-06-06,2330,200000,Dealer_self,47000
2016-06-06,2330,614000,Dealer_Hedging,695000
2016-06-07,2330,42228155,Foreign_Investor,24398499
2016-06-07,2330,168000,Investment_Trust,149534
2016-06-07,2330,716000,Dealer_self,55000
2016-06-07,2330,446000,Dealer_Hedging,571000
2016-06-08,2330,38003430,Foreign_Investor,18869025
2016-06-08,2330,171000,Investment_Trust,288000
2016-06-08,2330,573000,Dealer_self,295000
2016-06-08,2330,285000,Dealer_Hedging,617000
2016-06-13,2330,40653262,Foreign_Investor,49534120
2016-06-13,2330,59000,Investment_Trust,485000
2016-06-13,2330,1028000,Dealer_self,287000
2016-06-13,2330,1241000,Dealer_Hedging,140000
2016-06-14,2330,20536962,Foreign_Investor,16903800
2016-06-14,2330,37000,Investment_Trust,490000
2016-06-14,2330,1489000,Dealer_self,232000
2016-06-14,2330,1023000,Dealer_Hedging,330000
2016-06-15,2330,23694422,Foreign_Investor,18542311
2016-06-15,2330,25000,Investment_Trust,11000
2016-06-15,2330,1383000,Dealer_self,37000
2016-06-15,2330,1277000,Dealer_Hedging,627000
2016-06-16,2330,22402608,Foreign_Investor,33055951
2016-06-16,2330,0,Investment_Trust,258000
2016-06-16,2330,2066000,Dealer_self,245000
2016-06-16,2330,691000,Dealer_Hedging,552000
2016-06-17,2330,27269959,Foreign_Investor,19594378
2016-06-17,2330,3000,Investment_Trust,311552
2016-06-17,2330,1120000,Dealer_self,433000
2016-06-17,2330,610000,Dealer_Hedging,1603250
2016-06-20,2330,16588000,Foreign_Investor,16953788
2016-06-20,2330,124000,Investment_Trust,49000
2016-06-20,2330,2014000,Dealer_self,36000
2016-06-20,2330,946240,Dealer_Hedging,675000
2016-06-21,2330,22304264,Foreign_Investor,10639240
2016-06-21,2330,5000,Investment_Trust,14000
2016-06-21,2330,1392000,Dealer_self,320000
2016-06-21,2330,767000,Dealer_Hedging,1284000
2016-06-22,2330,23227081,Foreign_Investor,18900658
2016-06-22,2330,45000,Investment_Trust,50000
2016-06-22,2330,1902000,Dealer_self,284000
2016-06-22,2330,2141000,Dealer_Hedging,1176000
2016-06-23,2330,14661844,Foreign_Investor,12834634
2016-06-23,2330,25000,Investment_Trust,40000
2016-06-23,2330,2423000,Dealer_self,31000
2016-06-23,2330,1065000,Dealer_Hedging,559000
2016-06-24,2330,25966394,Foreign_Investor,65301916
2016-06-24,2330,60000,Investment_Trust,740000
2016-06-24,2330,7535000,Dealer_self,1059000
2016-06-24,2330,3878000,Dealer_Hedging,894000
2016-06-27,2330,22744968,Foreign_Investor,16441103
2016-06-27,2330,645000,Investment_Trust,170000
2016-06-27,2330,315000,Dealer_self,2276000
2016-06-27,2330,204000,Dealer_Hedging,3294000
2016-06-28,2330,27700980,Foreign_Investor,14021531
2016-06-28,2330,346000,Investment_Trust,124000
2016-06-28,2330,39000,Dealer_self,961000
2016-06-28,2330,252000,Dealer_Hedging,945000
2016-06-29,2330,24805803,Foreign_Investor,9817128
2016-06-29,2330,196000,Investment_Trust,146000
2016-06-29,2330,117000,Dealer_self,916000
2016-06-29,2330,29000,Dealer_Hedging,684000
2016-06-30,2330,38911000,Foreign_Investor,13716140
2016-06-30,2330,100000,Investment_Trust,126000
2016-06-30,2330,50000,Dealer_self,2097000
2016-06-30,2330,243000,Dealer_Hedging,963000
2016-07-01,2330,31893180,Foreign_Investor,8607417
2016-07-01,2330,20000,Investment_Trust,149000
2016-07-01,2330,263000,Dealer_self,1006000
2016-07-01,2330,22000,Dealer_Hedging,965000
2016-07-04,2330,21834493,Foreign_Investor,9455705
2016-07-04,2330,103000,Investment_Trust,286000
2016-07-04,2330,6000,Dealer_self,195000
2016-07-04,2330,276000,Dealer_Hedging,1072000
2016-07-05,2330,11148224,Foreign_Investor,9044653
2016-07-05,2330,44000,Investment_Trust,929000
2016-07-05,2330,0,Dealer_self,152000
2016-07-05,2330,541000,Dealer_Hedging,158000
2016-07-06,2330,16246178,Foreign_Investor,27589757
2016-07-06,2330,22000,Investment_Trust,711000
2016-07-06,2330,442000,Dealer_self,55000
2016-07-06,2330,1322000,Dealer_Hedging,457000
2016-07-07,2330,14505000,Foreign_Investor,8718208
2016-07-07,2330,46000,Investment_Trust,215000
2016-07-07,2330,75000,Dealer_self,516000
2016-07-07,2330,145000,Dealer_Hedging,1367000
2016-07-11,2330,47277438,Foreign_Investor,21126360
2016-07-11,2330,144000,Investment_Trust,463000
2016-07-11,2330,31000,Dealer_self,5577000
2016-07-11,2330,748000,Dealer_Hedging,811000
2016-07-12,2330,34332800,Foreign_Investor,18233356
2016-07-12,2330,275000,Investment_Trust,252000
2016-07-12,2330,13000,Dealer_self,649000
2016-07-12,2330,408000,Dealer_Hedging,399000
2016-07-13,2330,31722000,Foreign_Investor,44799151
2016-07-13,2330,101000,Investment_Trust,820000
2016-07-13,2330,772000,Dealer_self,451000
2016-07-13,2330,1271000,Dealer_Hedging,163000
2016-07-14,2330,31153055,Foreign_Investor,22841188
2016-07-14,2330,202000,Investment_Trust,615000
2016-07-14,2330,120000,Dealer_self,2254000
2016-07-14,2330,380000,Dealer_Hedging,1066000
2016-07-15,2330,30446034,Foreign_Investor,27588997
2016-07-15,2330,6522,Investment_Trust,1094000
2016-07-15,2330,769000,Dealer_self,225000
2016-07-15,2330,496000,Dealer_Hedging,453000
2016-07-18,2330,21340350,Foreign_Investor,15219367
2016-07-18,2330,57000,Investment_Trust,655000
2016-07-18,2330,426000,Dealer_self,91000
2016-07-18,2330,399000,Dealer_Hedging,340000
2016-07-19,2330,40614000,Foreign_Investor,30694014
2016-07-19,2330,235000,Investment_Trust,1030026
2016-07-19,2330,252000,Dealer_self,562000
2016-07-19,2330,265000,Dealer_Hedging,42000
2016-07-20,2330,36384798,Foreign_Investor,23358822
2016-07-20,2330,240000,Investment_Trust,211778
2016-07-20,2330,546000,Dealer_self,1189000
2016-07-20,2330,243000,Dealer_Hedging,480000
2016-07-21,2330,31531859,Foreign_Investor,19791781
2016-07-21,2330,9000,Investment_Trust,623275
2016-07-21,2330,533000,Dealer_self,400000
2016-07-21,2330,168000,Dealer_Hedging,164000
2016-07-22,2330,26222100,Foreign_Investor,20479050
2016-07-22,2330,400000,Investment_Trust,576000
2016-07-22,2330,169000,Dealer_self,604000
2016-07-22,2330,103000,Dealer_Hedging,1075000
2016-07-25,2330,19083712,Foreign_Investor,14611139
2016-07-25,2330,998000,Investment_Trust,125000
2016-07-25,2330,289000,Dealer_self,588000
2016-07-25,2330,350000,Dealer_Hedging,175000
