Year,Code,Name,TradeVolume,TradeValue,Transaction,HighestPrice,HDate,LowestPrice,LDate,AvgClosingPrice
113,077183,台積電元富4A購22,3201000,6061640,152,4.11,2月16日,0.01,7月18日,1.77
113,077200,台積電國票4A購14,2462000,5766440,131,3.54,4月08日,1.57,4月23日,2.39
113,077201,台積電國票4B購05,19206000,23676670,710,2.08,7月18日,0.64,7月10日,1.23
113,077202,台積電國票4C購07,3855000,5793210,247,2.72,2月15日,0.13,6月26日,1.44
113,077203,台積電國票52購01,3033000,3363000,226,2.51,2月16日,0.29,7月12日,1.14
113,077204,台積電國票54購03,3489000,6169140,183,2.71,2月15日,0.46,7月29日,1.76
113,077205,台積電國票57購02,1166000,2051500,62,4.51,4月17日,0.96,2月19日,2.09
113,077227,台積電凱基4A購38,8357000,4108750,150,0.97,1月26日,0.09,6月04日,0.51
113,077228,台積電凱基4A購39,10399000,17028790,672,5.70,7月09日,0.91,6月11日,2.05
113,077261,台積電元大4A購08,21418000,11795370,992,0.99,3月01日,0.07,8月06日,0.55
113,077262,台積電元大4A購09,420000,763020,9,2.07,2月15日,1.50,1月31日,1.77
113,077263,台積電元大4A購10,1690000,3581190,94,4.89,5月20日,0.95,1月23日,2.66
113,077264,台積電元大4A購11,2504000,2046600,160,1.40,2月23日,0.58,2月05日,0.96
113,077265,台積電元大4A購12,5480000,6806070,266,8.50,10月07日,0.79,9月11日,1.74
113,077266,台積電元大54購02,13560000,20316700,1010,7.10,10月07日,0.66,9月11日,1.56
113,07728U,台積電富邦33售05,,,,,4月22日,,7月16日,
113,07730T,台積電中信3A售03,5220000,2538550,218,1.42,4月22日,0.07,7月11日,0.61
113,077313,台積電群益4A購32,9624000,2091950,153,0.69,2月02日,0.02,9月19日,0.32
113,077314,台積電群益4A購33,2117000,9059820,198,8.45,6月19日,2.18,1月31日,4.26
113,077368,台積電富邦4A購07,890000,581610,36,0.95,2月16日,0.21,5月03日,0.63
113,077369,台積電富邦4B購11,16599000,15917700,820,1.42,3月20日,0.01,7月18日,0.80
113,077383,台積電永豐57購01,24439000,25857580,955,3.30,8月21日,0.10,12月16日,1.93
113,077414,台積電凱基64購02,2945000,10086780,206,5.90,3月29日,0.10,8月14日,3.90
113,077415,台積電凱基64購03,3921000,4011360,109,1.61,4月10日,0.82,2月15日,1.22
113,07742T,台積電群益3A售13,27562000,32300400,1424,3.21,4月22日,0.14,7月16日,1.28
113,077448,台積電群益4A購34,6625000,2385210,132,1.07,4月08日,0.05,6月12日,0.37
113,077449,台積電群益4A購35,28992000,40116140,1034,9.40,4月12日,0.26,3月20日,2.14
113,077450,台積電群益4A購36,6585000,6162150,207,1.60,5月28日,0.55,4月23日,0.94
