buy,date,name,sell
1478507060,2016-06-07,Dealer_self,920030170
43798797382,2016-06-07,total,31368792223
704057290,2016-06-07,Investment_Trust,778615578
1021302670,2016-06-08,Dealer_self,883654160
3419396010,2016-06-08,Dealer_Hedging,5928092408
38033243563,2016-06-08,Foreign_Investor,25086760191
43258652333,2016-06-08,total,32593182929
784710090,2016-06-08,Investment_Trust,694676170
30729119614,2016-06-13,Foreign_Investor,36172632074
598130700,2016-06-13,Investment_Trust,1149646964
3463434330,2016-06-13,Dealer_Hedging,3901147973
36059913144,2016-06-13,total,42500610289
1269228500,2016-06-13,Dealer_self,1277183278
23482228155,2016-06-14,Foreign_Investor,20612733557
28207576045,2016-06-14,total,25849100432
289808750,2016-06-14,Investment_Trust,729339915
1013940520,2016-06-14,Dealer_self,698022629
3421598620,2016-06-14,Dealer_Hedging,3809004331
1585985910,2016-06-15,Dealer_self,2144371429
4613393995,2016-06-15,Dealer_Hedging,6658235538
732207130,2016-06-15,Investment_Trust,1283101106
32009337770,2016-06-15,total,31039312140
25077750735,2016-06-15,Foreign_Investor,20953604067
3777533893,2016-06-16,Dealer_Hedging,4580180114
1268907610,2016-06-16,Dealer_self,1158600270
26961025756,2016-06-16,total,36620466008
897282200,2016-06-16,Investment_Trust,1267020928
21017302053,2016-06-16,Foreign_Investor,29614664696
1260960860,2016-06-17,Investment_Trust,1665823543
1043350270,2016-06-17,Dealer_self,1043356030
37235317104,2016-06-17,total,32850258645
3293190775,2016-06-17,Dealer_Hedging,4426860125
31637815199,2016-06-17,Foreign_Investor,25714218947
20361370243,2016-06-20,Foreign_Investor,16094051020
26121155209,2016-06-20,total,21655645919
873185240,2016-06-20,Investment_Trust,895836557
1304275340,2016-06-20,Dealer_self,674559840
3582324386,2016-06-20,Dealer_Hedging,3991198502
4673840838,2016-06-21,Dealer_Hedging,4553044930
32337651053,2016-06-21,total,23611789128
25475561275,2016-06-21,Foreign_Investor,17668029168
1065089800,2016-06-21,Investment_Trust,823123130
1123159140,2016-06-21,Dealer_self,567591900
25012933078,2016-06-22,Foreign_Investor,19744394249
1286250450,2016-06-22,Investment_Trust,1009694908
1067603490,2016-06-22,Dealer_self,647776757
4065062405,2016-06-22,Dealer_Hedging,4549918160
31431849423,2016-06-22,total,25951784074
2824961306,2016-06-23,Dealer_Hedging,4205855040
1131356520,2016-06-23,Dealer_self,668029910
23519686508,2016-06-23,total,20687987739
18650689092,2016-06-23,Foreign_Investor,15190753932
912679590,2016-06-23,Investment_Trust,623348857
919062050,2016-06-24,Investment_Trust,1121165458
8397101280,2016-06-24,Dealer_Hedging,10562695308
2939396610,2016-06-24,Dealer_self,2153944720
27078401258,2016-06-24,Foreign_Investor,40101852932
39333961198,2016-06-24,total,53939658418
4164762342,2016-06-27,Dealer_Hedging,3795346028
771920870,2016-06-27,Dealer_self,1280910340
16286401081,2016-06-27,Foreign_Investor,17697797709
22184008933,2016-06-27,total,23865038193
960924640,2016-06-27,Investment_Trust,1090984116
1129528180,2016-06-28,Dealer_self,801099450
29438280328,2016-06-28,total,27287867895
22609491082,2016-06-28,Foreign_Investor,20928316095
1172982030,2016-06-28,Investment_Trust,1123526767
4526279036,2016-06-28,Dealer_Hedging,4434925583
31657498762,2016-06-29,total,23953683622
1484564620,2016-06-29,Investment_Trust,623390954
5412015260,2016-06-29,Dealer_Hedging,5273528573
1260514850,2016-06-29,Dealer_self,871532356
