stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
06258P,2015M01,0.66,0.07,15210000,5932360,430,2016-01-01,0.09,0.39,-0.34
06259P,2015M01,11.4,0.0,50000,538500,8,2016-01-01,0.0,9.95,0.0
06267P,2015M01,3.0,0.0,268000,683320,32,2016-01-01,2.37,0.0,2.37
06268P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,-1.66
06269P,2015M01,2.42,0.0,362000,763400,46,2016-01-01,0.0,1.99,-1.97
06271P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06274P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06275P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06280P,2015M01,0.53,0.33,24270000,9809040,286,2016-01-01,0.44,0.4,0.44
06285P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06293P,2015M01,1.37,0.0,14592000,10981840,496,2016-01-01,0.36,0.85,-0.5
06294P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06297P,2015M01,1.35,0.0,1442000,1714440,118,2016-01-01,1.34,0.0,0.55
06300P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06306P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06308P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06315P,2015M01,6.85,0.0,30000,200000,6,2016-01-01,0.0,5.0,0.0
06320P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06321P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06322P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06323P,2015M01,2.7,0.0,688000,1649240,66,2016-01-01,0.0,1.93,0.0
06324P,2015M01,7.95,0.0,2488000,13584940,350,2016-01-01,3.6,4.55,3.6
06325P,2015M01,4.09,0.0,454000,1599500,28,2016-01-01,0.0,0.0,-2.62
06327P,2015M01,0.66,0.25,80376000,33668740,1400,2016-01-01,0.27,0.44,-0.21
06341P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06343P,2015M01,0.05,0.0,10000,500,2,2016-01-01,0.0,0.05,0.0
06344P,2015M01,1.64,0.0,804000,870580,56,2016-01-01,0.0,0.71,-0.72
06345P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
